name,federation,sex,title_fide,fide_id,rating_fide,chesscom_username,chesscom_title,chesscom_rating_blitz,chesscom_rating_rapid,chesscom_rating_bullet,lichess_username,lichess_title,lichess_rating_blitz,lichess_rating_rapid,lichess_rating_bullet
"Aaberg, Anton",SWE,M,IM,1701991.0,2328.0,,,,,,,,,,
"Aabling-Thomsen, Jakob",DEN,M,IM,1407589.0,2337.0,taabling,IM,2358.0,2057.0,2071.0,,,,,
Aaditya Dhingra,IND,M,IM,25678191.0,2391.0,homelander150,IM,2822.0,2402.0,2108.0,,,,,
Aadya Gowda,IND,F,WCM,48701955.0,1847.0,aadyagowda27wc,WCM,2114.0,,1887.0,,,,,
Aadya Gupta,IND,F,WFM,25778293.0,1923.0,pawn0209,WFM,2335.0,2052.0,2127.0,,,,,
Aadya Ranganath,IND,F,WCM,25991426.0,1884.0,,,,,,,,,,
"Aagaard, Jacob",DEN,M,GM,1401815.0,2436.0,gmjacobaagaard,GM,2469.0,2076.0,2199.0,,,,,
Aakanksha Hagawane,IND,F,WIM,25014510.0,2320.0,aakankshachess,WIM,2492.0,2081.0,2246.0,,,,,
Aakash G,IND,M,FM,25644394.0,2348.0,chera_chola_pandya_in2024,FM,2770.0,2247.0,2520.0,,,,,
"Aakash Sharadchandra, Dalvi",IND,M,IM,25033220.0,2419.0,,,,,,,,,,
"Aalto, Patrik",FIN,M,FM,510726.0,2296.0,kielinkei,FM,2655.0,2357.0,2513.0,,,,,
Aamuktha Guntaka,IND,F,WFM,33486697.0,2102.0,aamuktha-guntaka,WFM,2530.0,,,,,,,
Aansh Nandan Nerurkar,IND,M,FM,25922491.0,2319.0,aanshnerurkar,FM,2647.0,2257.0,2236.0,,,,,
Aaradhya Das,IND,F,WCM,33361436.0,1859.0,aaradhya_das-03,WCM,2486.0,1952.0,2178.0,,,,,
Aarav A,IND,M,CM,25162748.0,2060.0,artisticonline,CM,2663.0,,,,,,,
Aarav Dengla,IND,M,IM,45059756.0,2468.0,aaravdenglaofficial,IM,2836.0,2361.0,2929.0,,,,,
Aarav Sarbalia,IND,M,FM,33382859.0,2231.0,sarbalia,FM,2597.0,,2411.0,,,,,
Aarav Sinha,IND,M,FM,25674064.0,2314.0,weifd,FM,2602.0,2300.0,2300.0,,,,,
Aarit Kapil,IND,M,CM,33408947.0,2119.0,drstrange2015,CM,2731.0,2021.0,2459.0,,,,,
"Aarland, Stein Arild",NOR,M,FM,1500503.0,2300.0,,,,,,,,,,
"Aaron, Manuel",IND,M,IM,5000092.0,2315.0,,,,,,,,,,
Aaryan Varshney,IND,M,IM,45048975.0,2489.0,anaconda1704,IM,2574.0,,2610.0,aaryan_varshney,IM,2582.0,2683.0,3164.0
Aashman Gupta,IND,M,CM,45022500.0,2198.0,juniorjumper,CM,2500.0,2530.0,2551.0,,,,,
Aayat Asmi,PAK,F,WCM,7810776.0,1487.0,,,,,,,,,,
Aayush Bhattacherjee,IND,M,FM,35029070.0,2360.0,asianmaster2501,FM,2342.0,1729.0,2507.0,Aayush_Blue,FM,2193.0,2210.0,2560.0
"Abad Huaman, Adrian Estiven",PER,M,CM,3843459.0,2092.0,,,,,,,,,,
"Abaeji, Sinan Younus Abdulrazzaq",IRQ,M,CM,4801628.0,1959.0,,,,,,,,,,
"Abaeva, Aiana",KGZ,F,WCM,13804472.0,1842.0,,,,,,,,,,
"Abal Cores, Lucas",ESP,M,FM,22217975.0,2324.0,,,,,,,,,,
"Abarca Aguirre, Manuel",CHI,M,FM,3400123.0,2347.0,,,,,,,,,,
"Abarca Gonzalez, Damaris",CHI,F,WFM,3409414.0,1996.0,,,,,,,,,,
"Abarca Gonzalez, Nicolas",CHI,M,IM,3409422.0,2369.0,,,,,,,,,,
"Abarca, Camila Rene",ESA,F,WCM,6705863.0,1804.0,,,,,,,,,,
"Abasheev, Denis",RUS,M,IM,4128184.0,2415.0,,,,,,,,,,
"Abasov, Nijat",AZE,M,GM,13402960.0,2587.0,nijat_a,GM,2742.0,,2951.0,AbasovN,GM,3021.0,2749.0,3205.0
"Abatino, Maurizio",ITA,M,FM,802778.0,2151.0,,,,,,,,,,
Abbas Hussein kzar,IRQ,M,CM,4804937.0,2017.0,,,,,,,,,,
"Abbas, Daniel",ENG,M,FM,423831.0,2228.0,little-gnome,FM,2349.0,1665.0,2382.0,,,,,
"Abbasi Abeluie, Mohammad Mehdi",IRI,M,FM,36727890.0,2244.0,mmahdi2013,FM,2752.0,2117.0,2841.0,,,,,
"Abbasi, Nasser",USA,M,FM,2008645.0,2305.0,,,,,,,,,,
"Abbasi, Parnian",IRI,F,WFM,12543675.0,1782.0,,,,,,,,,,
"Abbasifar, Hasan",ESP,M,GM,12501000.0,2291.0,,,,,,,,,,
"Abbasov, Farid",AZE,M,GM,13400665.0,2493.0,abbasovfarid1979,GM,2699.0,,2045.0,,,,,
"Abbasov, Vusal",AZE,M,FM,13401777.0,2245.0,chess_rsm,FM,2776.0,2472.0,2635.0,,,,,
"Abbes, Ali",TUN,M,CM,5500222.0,2201.0,abbesali,CM,2350.0,1953.0,1922.0,,,,,
"Abbott, Peter",AUS,M,CM,3208494.0,1888.0,peternsw,CM,1860.0,,,,,,,
"Abbou, Meriem",ALG,F,WFM,7900139.0,2005.0,,,,,,,,,,
"Abdala Cancino, Patricia Anastas",CHI,F,WCM,3424634.0,1661.0,,,,,,,,,,
"Abdalla, Luiz Guilherme Aurelli",BRA,M,FM,2111080.0,2234.0,,,,,,,,,,
"Abdallah, Mohamed Khalil",TUN,M,CM,5529506.0,2090.0,,,,,,,,,,
"Abdel Rahim, Mohamed",UAE,M,FM,9300643.0,2053.0,,,,,,,,,,
"Abdel Razik, Khaled",EGY,M,IM,10601104.0,2369.0,khallod,IM,2643.0,2010.0,2601.0,safahkarmoz,IM,2715.0,2553.0,2776.0
"Abdelazeez, Mohamed Abdalla",SUD,M,FM,12202576.0,2174.0,,,,,,,,,,
"Abdellah, AitHmidou",MAR,M,CM,9000054.0,2220.0,,,,,,,,,,
"Abdelmenaem, Sohayla",EGY,F,WFM,10610529.0,1899.0,,,,,,,,,,
"Abdelnabbi, Imed",EGY,M,IM,10600035.0,2369.0,imedabdelnabii,IM,2687.0,2564.0,,,,,,
"Abdi, Zineb Dina",ALG,F,WIM,7900880.0,1909.0,chourahbil,WIM,2174.0,2039.0,1905.0,,,,,
"Abdil, Halil",BIH,M,FM,14402394.0,2050.0,,,,,,,,,,
"Abdilkhair, Abilmansur",KAZ,M,IM,13716417.0,2388.0,cfn_good_evening,FM,2215.0,1954.0,2098.0,,,,,
"Abdirahin, Abdullahi Mohamed",SOM,M,CM,16100727.0,1897.0,,,,,,,,,,
"Abdisalimov, Abdimalik",UZB,M,GM,14206323.0,2488.0,abdimalik_abdisalimov,GM,2783.0,1924.0,2826.0,,,,,
Abdou Ahmed Alem,MTN,M,CM,19603720.0,1926.0,abd-2025,CM,2218.0,2000.0,2213.0,bro-2025,CM,2176.0,1534.0,2336.0
"Abdsattar, Alisher",KAZ,M,CM,13749358.0,2197.0,mrpedegru25,CM,2676.0,,2428.0,,,,,
"Abdukadurova, Mekhri",TKM,F,WFM,14000695.0,2151.0,,,,,,,,,,
"Abdukhakimov, Akbarali",UZB,M,FM,14219522.0,2363.0,winner_7777,FM,2601.0,,2638.0,,,,,
"Abdul Hadi, Maftool Mhere",IRQ,M,CM,4800613.0,2235.0,,,,,,,,,,
"Abdul Rahman, Ali",MDV,M,CM,16700066.0,1824.0,,,,,,,,,,
"Abdul Satar, M A",IRQ,M,CM,4800052.0,2240.0,,,,,,,,,,
"Abdul, Majeed Mohamad",UAE,M,FM,9300210.0,2203.0,,,,,,,,,,
"Abdulaziz, Amal",UAE,F,WFM,9302484.0,1786.0,,,,,,,,,,
"Abdulaziz, Eman",UAE,F,WFM,9302492.0,1833.0,,,,,,,,,,
Abdulkadir Mohamed Warsame,SOM,M,CM,16100913.0,2001.0,diyaarada,CM,2227.0,2300.0,2001.0,,,,,
"Abdulla, A.",IRQ,M,FM,4800176.0,2320.0,,,,,,,,,,
"Abdulla, Khayala",AZE,F,WGM,13401807.0,2213.0,khayala13,WGM,2426.0,1932.0,2319.0,,,,,
"Abdulla, Murad",SCO,M,FM,2403757.0,2285.0,dragnaros,FM,2707.0,2063.0,2606.0,,,,,
"Abdulla, Zaura",MDV,F,WCM,16700627.0,1612.0,zauraabdulla,WCM,1381.0,1175.0,,,,,,
"Abdullah, Mansoor",UAE,M,IM,9300031.0,2270.0,,,,,,,,,,
"Abdullah, Mohd Kamal",MAS,M,CM,5700086.0,2130.0,,,,,,,,,,
"Abdulov, Orkhan",AZE,M,IM,13402714.0,2383.0,,,,,,Abtron,IM,2597.0,2363.0,2497.0
"ABDULRAHEEM, Abdulrahman Akintoye",NGR,M,FM,8504563.0,2331.0,,,,,,,,,,
"Abdulrahman Mohammad, Al Taher",UAE,M,FM,9310258.0,2199.0,z_chess6,FM,2557.0,2029.0,,,,,,
"Abdulsalam, Nadhmia",YEM,F,WCM,9400877.0,1731.0,,,,,,,,,,
"Abdulwahhab, Ahmed Abdulsattar A",IRQ,M,FM,4801849.0,2098.0,habab9995,FM,2336.0,2234.0,2350.0,,,,,
"Abdulyazanov, Malik",RUS,M,FM,4174860.0,2301.0,,,,,,,,,,
"Abdumalik, Zhansaya",KAZ,F,GM,13703544.0,2468.0,zabdumalik,GM,2730.0,2499.0,2629.0,,,,,
"Abdurakhmonov, Mukhammadali",UZB,M,IM,14207346.0,2363.0,tayson_7,FM,2902.0,2676.0,2769.0,abdurakhmanov_02,IM,2567.0,1500.0,2821.0
"Abdusattorov, Nodirbek",UZB,M,GM,14204118.0,2748.0,chesswarrior7197,GM,3173.0,2735.0,3048.0,,,,,
"Abdyzhapar, Asylbek",KGZ,M,IM,13800337.0,2319.0,,,,,,,,,,
"Abeer, Ali",UAE,F,WCM,9302930.0,1671.0,,,,,,,,,,
"Abel, Dennes",GER,M,IM,24605417.0,2383.0,,,,,,,,,,
"Abel, Lajos",HUN,M,IM,701424.0,2168.0,,,,,,,,,,
"Abel, Thomas",GER,M,FM,4637909.0,2338.0,,,,,,,,,,
"Abela, Daniel",MLT,M,CM,5600251.0,2082.0,,,,,,,,,,
"Abelgas, Roel",PHI,M,FM,5200970.0,2203.0,,,,,,CoachRoelAbelgas,FM,2411.0,2240.0,2753.0
"Abelguzin, Dinar",RUS,M,FM,24123501.0,2358.0,dinarabelguzin,FM,2184.0,1946.0,2550.0,,,,,
"Abelian, Artak",RUS,M,FM,4170466.0,2346.0,,,,,,,,,,
"Abelian, Oganes",RUS,M,FM,4170474.0,2324.0,,,,,,,,,,
"Abeln, Michiel",NED,M,FM,1003640.0,2292.0,michiel245,FM,2304.0,2000.0,,,,,,
"Abera, Aydagnuhem Gezachew",ETH,M,CM,10801839.0,2096.0,aydusha,CM,2093.0,1768.0,,,,,,
"Abergel, Thal",FRA,M,GM,614890.0,2401.0,kovkov,GM,2365.0,,2537.0,,,,,
"Abhishek, Das",IND,M,FM,5013348.0,2185.0,bhagwanbirsamunda,FM,2462.0,2218.0,,,,,,
"Abhishek, Kelkar",IND,M,IM,5019257.0,2172.0,,,,,,,,,,
"Abhyuday, Santhosh",IND,M,CM,25624849.0,2094.0,,,,,,,,,,
"Abiad Parra, Carlos Jose",VEN,M,CM,3910202.0,2167.0,,,,,,,,,,
"Abibula, Aytechin",ROU,M,FM,1202278.0,2328.0,,,,,,,,,,
"Abilmazhinov, Dauren",KAZ,M,IM,13701711.0,2428.0,,,,,,,,,,
"Abo Moliana, Montasar",LBA,M,FM,9202609.0,2047.0,,,,,,,,,,
"Abolianin, Arthur",BEL,M,IM,202606.0,2294.0,,,,,,,,,,
"Abou El Zein, Eid Mahmoud",EGY,M,IM,10600078.0,2130.0,,,,,,,,,,
"Aboudi, Marwan",JOR,M,CM,8100160.0,2093.0,,,,,,,,,,
Abraham Kalokoh,LBR,M,CM,22600264.0,1740.0,,,,,,,,,,
"Abrahams, Daniel",CAN,M,CM,2606879.0,2111.0,handknit,CM,2496.0,2179.0,,,,,,
"Abrahamyan, Tatev",USA,F,IM,13301918.0,2406.0,axvesik,WGM,2526.0,2441.0,2585.0,,,,,
"Abramciuc, Marius",MDA,M,FM,13900609.0,2246.0,,,,,,,,,,
"Abramov, Alexander",RUS,M,FM,4174089.0,2198.0,gm-2023,FM,1700.0,1528.0,1529.0,,,,,
"Abramov, Boris",RUS,M,IM,4144970.0,2149.0,,,,,,,,,,
"Abramov, Leonid",RUS,M,FM,4142713.0,2161.0,,,,,,,,,,
"Abramov, Nikita",RUS,M,FM,24198951.0,2300.0,,,,,,,,,,
"Abramov, Valentin",RUS,M,FM,4154070.0,2271.0,,,,,,,,,,
"Abramov, Valery",RUS,M,FM,4179196.0,2259.0,,,,,,,,,,
"Abramova, Ekaterina",RUS,F,WFM,24142034.0,2008.0,,,,,,,,,,
"Abramova, Yulia",FID,F,WCM,24104655.0,1888.0,,,,,,,,,,
"Abrantes, Persson",MOZ,M,CM,14800063.0,2003.0,cm_perligero,CM,2025.0,2083.0,1645.0,Perligero,CM,2216.0,2252.0,2013.0
"Abrashkin, Boris",RUS,M,IM,4120582.0,2407.0,zmeeed67,IM,2733.0,2235.0,2744.0,zmeeed,IM,2515.0,1500.0,2699.0
"Abravanel, Chely",FRA,M,FM,600440.0,2152.0,,,,,,,,,,
"Abreu Delgado, Aryam",CUB,M,GM,3502589.0,2434.0,aryamabreu,GM,2640.0,2612.0,2344.0,,,,,
"Abreu Jean, Carlos Paul",DOM,M,FM,6405525.0,2274.0,carlospaul1990,FM,2528.0,2233.0,2193.0,,,,,
"Abreu, Jorge D.",DOM,M,IM,6400035.0,2381.0,,,,,,,,,,
"Abrisqueta Zudaire, Leyre",ESP,F,WFM,32092253.0,2103.0,,,,,,,,,,
"Abrosimov, Vladimir",RUS,M,FM,4166892.0,2341.0,ava1411,FM,2494.0,2114.0,2334.0,,,,,
"Abu Sufian, Shakil",BAN,M,IM,10200916.0,2217.0,,,,,,,,,,
"AbuAzizah, Raji",PLE,M,FM,11503327.0,2067.0,,,,,,,,,,
Abubaker Abdalsalam,SUD,M,FM,12200875.0,2159.0,,,,,,,,,,
"Abubekerov, Oleg",RUS,M,FM,4162757.0,2246.0,,,,,,,,,,
"Abugenda, Nagi",LBA,M,CM,9202544.0,1972.0,,,,,,,,,,
"Abukarova, Madina",RUS,F,WFM,24174440.0,2131.0,,,,,,,,,,
"Abuladze, Lana",RUS,F,WFM,24111210.0,2101.0,,,,,,,,,,
"Acar, Utku Cengiz",TUR,M,CM,6358900.0,2052.0,sirinbaba33,CM,2550.0,1773.0,2194.0,timetofight33,CM,2490.0,1966.0,2532.0
"Acarbay, Algi",TUR,F,WCM,6303692.0,1982.0,larazov,WCM,2278.0,,,,,,,
"Acebal Muniz, Antonio",ESP,M,FM,2200937.0,2003.0,,,,,,,,,,
"Acebal Muniz, Jose Maria",ESP,M,FM,2200546.0,2330.0,,,,,,,,,,
"Acers, Jude",USA,M,CM,2034301.0,2229.0,,,,,,,,,,
"Acevedo Garcia, Hilda",MEX,F,WCM,5100844.0,2070.0,,,,,,,,,,
"Acevedo Mendez, Jennifer",CRC,F,WFM,6504442.0,1868.0,,,,,,,,,,
"Acevedo Mendez, Lisseth",ISL,F,WIM,6502938.0,1871.0,,,,,,,,,,
"Acevedo Milan, Armando",MEX,M,FM,5100143.0,2235.0,,,,,,,,,,
"Acham, Meritza",MRI,F,WCM,9700374.0,1653.0,,,,,,,,,,
"Acharya, Chandragupta K.",IND,M,FM,5001412.0,2300.0,,,,,,,,,,
"Acholonu, Gregory",USA,M,FM,2009994.0,2251.0,gregoryacholonu,FM,2506.0,2202.0,2380.0,,,,,
Achraf Hadj Khoulti,MAR,M,CM,9004025.0,2044.0,,,,,,,,,,
"Achuthan, Aryan",USA,M,CM,30982294.0,2218.0,chess_star1234,NM,2579.0,2500.0,2652.0,,,,,
"Acikel, Mert",GER,M,FM,12956465.0,2183.0,mertfelin,FM,2412.0,1624.0,2443.0,,,,,
"Aciu, Malina-Andreea",ROU,F,WFM,1240323.0,2016.0,,,,,,,,,,
"Ackermann, Hans Werner",GER,M,FM,4605918.0,2210.0,,,,,,,,,,
"Acor, Corey",USA,M,FM,2024861.0,2180.0,chasing_checkmate,FM,2812.0,2751.0,2751.0,,,,,
"Acosta Cubides, Jorian Jared",COL,M,CM,4406214.0,2064.0,,,,,,,,,,
"Acosta Sosa, Juan Manuel",ESP,M,FM,2256002.0,2261.0,,,,,,,,,,
"Acosta Villarroel, Lorner Jesus",VEN,M,CM,3906337.0,2156.0,lorneracosta,CM,2671.0,2050.0,2778.0,lorneracosta12345,CM,2748.0,2664.0,2834.0
"Acosta, Alejandro",COL,M,IM,4400089.0,2292.0,,,,,,,,,,
"Acosta, Pablo Ismael",ARG,M,IM,124311.0,2498.0,acostapablo,IM,2683.0,2334.0,2719.0,,,,,
"Acs, Peter",HUN,M,GM,708020.0,2563.0,peteracs,GM,2523.0,2343.0,,,,,,
"Acsinte, Matei-Ionut",ROU,M,FM,1209590.0,2219.0,,,,,,,,,,
"Acuna Celada, Ivan",ESP,M,CM,2221675.0,2090.0,,,,,,,,,,
"Aczel, Gergely",HUN,M,GM,727709.0,2435.0,,,,,,,,,,
"Adair, James R",ENG,M,IM,406252.0,2440.0,dogmanstar94,IM,2702.0,2379.0,2652.0,,,,,
"Adam, Ernestina",ARG,F,WFM,165883.0,2130.0,ernestina08chess,WFM,2240.0,1723.0,2310.0,,,,,
"Adam, Jamal",CHA,M,CM,12200620.0,2016.0,jamaladam12200620,CM,1856.0,1521.0,1841.0,,,,,
"Adam, Rafael",CAN,M,CM,2630958.0,2160.0,1_corinthians_15-57,NM,2531.0,2213.0,2669.0,,,,,
"Adam, Valerian",CAN,M,IM,2603896.0,2404.0,,,,,,,,,,
"Adamczyk, Zuzanna",POL,F,WCM,1187570.0,1944.0,savagemedusa,WCM,2396.0,1873.0,2137.0,,,,,
"Adamek, Jiri",CZE,M,FM,315702.0,2250.0,,,,,,,,,,
"Adamowicz, Katarzyna",POL,F,WFM,1134043.0,2069.0,,,,,,,,,,
"Adams, James B",ENG,M,FM,401137.0,2300.0,,,,,,,,,,
"Adams, Michael",ENG,M,GM,400041.0,2646.0,gmmickeyadams,GM,2801.0,2556.0,,,,,,
"Adams, Seth-Riley",RSA,M,CM,14311372.0,1900.0,flintrook,CM,2034.0,1742.0,2134.0,,,,,
"Adamski, Andrzej",POL,M,IM,1101439.0,2275.0,,,,,,,,,,
"Adamski, Jan",POL,M,IM,1100190.0,2047.0,,,,,,,,,,
"Adamson, Robby",USA,M,FM,2009730.0,2211.0,blitzmaster,FM,2703.0,2648.0,2696.0,,,,,
"Adan Bermudez, Sergio",ESP,M,FM,2292726.0,2306.0,prime-morty,FM,2680.0,2311.0,2404.0,,,,,
"Adan Sosa, Orlando",FID,M,FM,3514781.0,2326.0,,,,,,,,,,
Adarsh Tripathi,IND,M,IM,35061984.0,2313.0,professorofblundera,IM,2292.0,,2535.0,adarshwick,IM,2554.0,2608.0,2770.0
"Adasme Fredes, Mauricio",CHI,M,CM,3406512.0,1999.0,,,,,,lou2018,CM,2315.0,1958.0,2249.0
"Addines Aguiar, Yensil",CUB,F,WFM,3508269.0,2050.0,,,,,,,,,,
"ADEBAYO, Adegboyega Joel",NGR,M,FM,8500282.0,2272.0,dabee,FM,2601.0,2277.0,1942.0,,,,,
"Adebo, Muhaba Detamo",ETH,M,CM,15700631.0,1950.0,,,,,,,,,,
"Adeimi, Michel",LBN,M,CM,689165.0,2086.0,,,,,,,,,,
"Adel Lahchaichi, Oussama",ESP,M,FM,2207885.0,2273.0,,,,,,,,,,
"Adel, Sara",EGY,F,WFM,10616764.0,1880.0,wfm_sara_adel,WFM,2216.0,2218.0,2280.0,Bullet_House,WFM,2051.0,2246.0,2505.0
"Adelaja, Abimbola",NGR,M,FM,8500193.0,2167.0,,,,,,,,,,
"Adeline, Clementia",INA,F,WCM,7132085.0,1802.0,ca8chess,WCM,2289.0,1919.0,2242.0,,,,,
"Adelman, Charles",USA,M,FM,2003597.0,2268.0,,,,,,,,,,
"Adesina, Adeyinka",NGR,M,FM,8501238.0,2122.0,,,,,,,,,,
"Adewumi, Tanitoluwa",USA,M,IM,30966396.0,2432.0,tanitoluwaaps116,IM,3008.0,2447.0,2830.0,TanitoluwaAps116,IM,2761.0,2200.0,2887.0
Adharsh K,IND,M,FM,25718207.0,2313.0,adarsh12370,FM,2728.0,2358.0,2476.0,,,,,
"Adhiban, B.",IND,M,GM,5018471.0,2552.0,,,,,,,,,,
"Adhin, Anviti",SUR,F,WCM,8201200.0,1802.0,,,,,,,,,,
"Adil, Ali Jalal",IRQ,M,FM,4800079.0,2070.0,,,,,,,,,,
Adireddy Arjun,IND,M,FM,25647709.0,2288.0,,,,,,,,,,
Adithya A Chullikkad,IND,M,FM,45078734.0,2358.0,average_trans,FM,2302.0,1792.0,2125.0,,,,,
Adithya Bala,USA,M,FM,5020506.0,2292.0,awesomeidiot,NM,2456.0,2458.0,2354.0,,,,,
Aditya Mittal,IND,M,GM,35042025.0,2589.0,vinniethepooh,GM,2966.0,2493.0,3043.0,Thunderbolt1909,GM,2594.0,2599.0,3008.0
Aditya Varun Gampa,IND,M,FM,45066183.0,2273.0,attacker_2006,FM,2725.0,2299.0,2744.0,,,,,
Aditya Vikram Paul,IND,M,FM,45058962.0,2391.0,,,,,,adi2944,FM,2334.0,2121.0,2768.0
"Adla, Diego",ARG,M,IM,100072.0,2379.0,ellatambien,IM,2693.0,,2570.0,,,,,
"Adler, Joel",SUI,M,FM,1300563.0,2216.0,,,,,,,,,,
"Adler, Viktor",USA,M,IM,4103580.0,2377.0,,,,,,,,,,
"Adly, Ahmed",EGY,M,GM,10601619.0,2589.0,a-adly,GM,2972.0,2698.0,2899.0,GMadly,GM,2718.0,1770.0,3016.0
"Admiraal, Miguoel",NED,M,IM,1019716.0,2455.0,justmig,IM,2647.0,2358.0,2765.0,,,,,
"Adnan, Habib",CAN,M,CM,11202270.0,2190.0,adnan_habib,CM,2505.0,2429.0,2425.0,,,,,
"Adnan,Habib Hana",IRQ,M,CM,4800303.0,2220.0,,,,,,,,,,
"Adnoy, Hallvard V.",NOR,M,FM,1502433.0,2276.0,,,,,,,,,,
"Adoamnei, Roxana-Antonela",ROU,F,WFM,1201905.0,1973.0,,,,,,,,,,
"Adrar, Sofiane",ALG,M,FM,7910606.0,1797.0,,,,,,,,,,
"Adrian, Claude",FRA,M,IM,601071.0,2153.0,,,,,,,,,,
"Adricula, Noel A",FIJ,M,CM,11400234.0,1779.0,,,,,,,,,,
"Adu Jnr, Lionel",GHA,M,CM,12600750.0,1854.0,,,,,,,,,,
"ADU, Oladapo",NGR,M,IM,8500258.0,2137.0,dapsay,IM,2604.0,2288.0,2535.0,Dapsay,IM,2536.0,2518.0,2536.0
"Adu-Poku, Kwabena",GHA,M,CM,12600598.0,1992.0,bn1462,CM,2103.0,2067.0,1921.0,,,,,
"Advait, Bagri",SGP,M,CM,5820391.0,2118.0,,,,,,,,,,
Advaitt Srikant Koduri,IND,M,FM,25185454.0,2206.0,king_koduri,FM,2406.0,2284.0,2336.0,,,,,
Advik Amit Agrawal,IND,M,CM,48753629.0,2175.0,,,,,,,,,,
"Ady, Jonathan J.",ENG,M,FM,6000240.0,2350.0,,,,,,,,,,
"Adzic, Slobodan",SUI,M,FM,723886.0,1996.0,,,,,,,,,,
"Adzua, Geoffrey",NGR,M,FM,8506191.0,1971.0,,,,,,,,,,
"Aepfler, Christian",GER,M,FM,4628306.0,2125.0,,,,,,,,,,
"Aeschbach, Philipp",SUI,M,FM,1308220.0,2225.0,blubbiblubb,FM,2200.0,1954.0,2223.0,,,,,
"Afanasiev, Nikita",RUS,M,GM,24183555.0,2507.0,rainmond,GM,2775.0,2487.0,2810.0,,,,,
"Afanasiev, Vadim",RUS,M,FM,4128257.0,2281.0,,,,,,,,,,
"Afanasieva, Alexandra",RUS,F,WFM,34126926.0,1882.0,vse_po_kaify,WFM,2603.0,2077.0,2137.0,,,,,
"Afanasieva, Oksana",RUS,F,WFM,4140850.0,2139.0,,,,,,,,,,
"Afek, Yochanan",ISR,M,IM,2800462.0,2213.0,,,,,,,,,,
"Afifi, Assem",EGY,M,IM,10600019.0,2272.0,,,,,,,,,,
"Afonso, Flora",ANG,F,WCM,10100334.0,2050.0,,,,,,,,,,
"Afraoui, Anaelle",FRA,F,WFM,20654383.0,2142.0,,,,,,,,,,
"Afromeev, Vladimir",RUS,M,FM,4157770.0,2603.0,,,,,,,,,,
"Afshar, Niusha",IRI,F,WCM,12509892.0,1966.0,niusha,WCM,1936.0,1667.0,1895.0,,,,,
"Afshari, Mohammadreza",IRI,M,FM,12501263.0,2079.0,afshar-110,FM,,,,Afshari_M,FM,2610.0,2653.0,2474.0
"Ag, Norbert Dr.",HUN,M,FM,733466.0,2299.0,vicedean,FM,2740.0,2265.0,2714.0,,,,,
"Agababean, Naira",MDA,F,WGM,13900129.0,2161.0,,,,,,,,,,
"Agacinski, Tadeusz",POL,M,CM,1127586.0,1679.0,,,,,,,,,,
"Agafii, Victor",MDA,M,FM,13902199.0,2260.0,,,,,,,,,,
"Agajanova, Meryem",TKM,F,WCM,14005930.0,2005.0,,,,,,,,,,
"Agapov, Sergey",RUS,M,FM,4154258.0,2265.0,agapov771,FM,2510.0,,2097.0,,,,,
"Agaragimov, Djakhangir",AZE,M,GM,13401718.0,2502.0,,,,,,,,,,
"Agarwal, Amaya",ENG,F,WCM,48733580.0,1818.0,queencrusher_10,WCM,2034.0,2013.0,1780.0,,,,,
"Agasarov, Benik",ARM,M,IM,13314823.0,2416.0,bvb009,FM,2806.0,2542.0,2846.0,,,,,
Agbor Ebot John,CMR,M,FM,16400216.0,1978.0,,,,,,,,,,
"Agdelen, Huseyin Can",TUR,M,IM,6352260.0,2405.0,,,,,,Patetico,IM,2844.0,1500.0,3216.0
"Agdestein, Espen",NOR,M,FM,1500201.0,2372.0,,,,,,,,,,
"Agdestein, Simen",NOR,M,GM,1500015.0,2563.0,grukjr,GM,2670.0,2487.0,2175.0,,,,,
"Ageichenko, Genadi A",RUS,M,IM,4105222.0,2216.0,,,,,,,,,,
"Aggelis, Nikolaos",GRE,M,FM,4213220.0,2297.0,howto2draw,FM,2535.0,,,,,,,
"Aghabekian, Liana",LUX,F,WIM,13302540.0,2145.0,,,,,,,,,,
"Aghaei, Alireza",IRI,M,CM,12509914.0,2204.0,tizpa96,CM,2704.0,2247.0,2534.0,,,,,
"Aghamaliyev, Cemil",TUR,M,GM,13400215.0,2486.0,gmgamil,GM,2791.0,918.0,2759.0,,,,,
"Aghasaryan, Robert",ARM,M,GM,13302841.0,2537.0,gmchessrob,GM,2828.0,2430.0,2804.0,Dr_Chessrob,GM,2619.0,2122.0,2818.0
"Aghasiyev, Kamal",AZE,M,IM,13402854.0,2441.0,,,,,,,,,,
"Aghasiyeva, Fidan",AZE,F,WIM,13402374.0,2169.0,,,,,,AghasiyevaFidan,WIM,2181.0,1599.0,1865.0
"Aghaverdiyeva, Maryam",AZE,F,WCM,13452509.0,2036.0,,,,,,,,,,
"Aghayev, Miragha",ITA,M,IM,818070.0,2428.0,miragha_yev,IM,2799.0,2637.0,2808.0,pipita09,IM,2752.0,1720.0,2903.0
"Aghayev, Nijat",AZE,M,IM,13402048.0,2319.0,,,,,,,,,,
"Agibileg, Uurtsaikh",MGL,M,IM,4901606.0,2449.0,agibileg,IM,2709.0,2599.0,2641.0,,,,,
"Aginian, Nelly",ARM,F,WGM,13300628.0,2207.0,,,,,,,,,,
