name,federation,sex,title_fide,fide_id,rating_fide,chesscom_username,chesscom_title,chesscom_rating_blitz,chesscom_rating_rapid,chesscom_rating_bullet,lichess_username,lichess_title,lichess_rating_blitz,lichess_rating_rapid,lichess_rating_bullet
"Salakhova, Gulnara",RUS,F,WIM,4119592.0,2129.0,,,,,,,,,,
"Salakhutdinov, Ildar",RUS,M,FM,4143078.0,2137.0,,,,,,,,,,
"Salas Arros, Cristian",CHI,M,FM,3401952.0,2370.0,,,,,,,,,,
"Salas Estrada, Ana Paola",MEX,F,WCM,5128889.0,1811.0,,,,,,,,,,
"Salas Estrada, Ana Valeria",MEX,F,WCM,5127475.0,1855.0,,,,,,,,,,
"Salas Leal, Mario",CRC,M,CM,6500102.0,2255.0,,,,,,,,,,
"Salas Torres, Pamela",CRC,F,WCM,6505716.0,1869.0,,,,,,,,,,
"Salasan, Haran",AUS,M,CM,3221253.0,2077.0,hs03935,CM,2376.0,2078.0,2218.0,,,,,
"Salaun, Yann",FRA,M,IM,601748.0,2220.0,,,,,,,,,,
"Salazar Cabezas, Alberto Javier",NCA,M,FM,6104401.0,2123.0,ajsc02,FM,2329.0,1961.0,2001.0,,,,,
"Salazar Farias, Luis German",VEN,M,FM,3902170.0,2244.0,lgsalazar94,FM,2558.0,,,,,,,
"Salazar Flores, Yerick Alexander",PER,M,CM,3864928.0,2044.0,,,,,,,,,,
