player_username,n_triggers,tilt_acpl_median,tilt_acpl_mean,tilt_winrate_median,tilt_winrate_mean,tilt_moves_median,enough_triggers
AGmedina,1,-10.533333333333331,-10.533333333333331,0.44999999999999996,0.44999999999999996,7.7833333333333385,False
Alindsay,5,-2.5333333333333385,-4.533333333333337,0.016666666666666607,0.08333333333333329,0.3999999999999986,True
Anchkaaaaa,3,-0.49122807017543835,-0.3801169590643288,-0.13333333333333341,-0.13333333333333341,-1.4666666666666615,True
ArmQueen,6,-2.5833333333333357,-4.305555555555557,-0.06666666666666671,0.044444444444444405,5.566666666666666,True
Banzeus,4,0.9210526315789451,0.7960526315789451,-2.7755575615628914e-17,0.08333333333333331,0.75,True
Briseyda,3,3.0,-1.444444444444444,0.016666666666666607,0.016666666666666607,-6.683333333333334,True
Catherine_Kaslan,6,-6.75,-3.1944444444444446,-0.06666666666666671,-0.06666666666666671,-4.766666666666669,True
Chesssplayer21,1,-18.63333333333333,-18.63333333333333,-0.033333333333333326,-0.033333333333333326,-2.883333333333333,False
CyrilMarcelin,1,-7.383333333333333,-7.383333333333333,-0.033333333333333326,-0.033333333333333326,2.7833333333333385,False
Dire_Promise,4,-0.4210526315789451,4.245614035087721,0.08333333333333331,0.08333333333333331,11.916666666666668,True
Edogawayan,2,-2.75,-2.75,0.13333333333333336,0.13333333333333336,6.950000000000003,True
Ermito,2,-5.980392156862746,-5.980392156862746,0.30000000000000004,0.30000000000000004,6.966666666666665,True
FunnyBlani,3,-2.6000000000000014,3.2888888888888865,-0.3,-0.3,8.600000000000001,True
HakanTooGood,4,-9.433333333333334,-6.4333333333333345,-0.19999999999999998,-0.19999999999999996,-3.200000000000003,True
Heinza9,2,-12.483333333333333,-12.483333333333333,0.30000000000000004,0.30000000000000004,-8.516666666666667,True
Homino,6,1.7333333333333343,1.8722222222222211,0.08333333333333331,0.027777777777777762,0.26666666666666927,True
Jemimapaulo2007,2,4.116666666666669,4.116666666666669,0.1833333333333333,0.1833333333333333,2.7333333333333343,True
Kacparov,4,3.9000000000000004,4.65,-0.15000000000000005,-0.06666666666666671,5.883333333333329,True
Karttunen,6,2.783333333333335,1.783333333333336,0.23333333333333334,0.15000000000000002,5.166666666666668,True
Keti_Tsatsalashvili,1,13.1875,13.1875,-0.65,-0.65,26.799999999999997,False
Krestik,3,3.0,3.0,0.11666666666666659,0.1166666666666666,-8.0,True
Krestoman,4,-2.166666666666666,-2.166666666666666,0.11666666666666659,0.1166666666666666,1.2666666666666693,True
Lukianoo,6,-4.399999999999999,-6.122222222222221,0.16666666666666663,0.16666666666666666,-6.149999999999997,True
Magic_Chess_by,3,-15.083333333333336,-12.52777777777778,-0.16666666666666669,-0.05555555555555558,5.850000000000001,True
Mahan_83,3,11.083333333333336,-3.4722222222222214,0.06666666666666665,0.06666666666666667,-10.183333333333334,True
MattyDPerrine,4,-8.049999999999997,-9.549999999999997,-0.35,-0.09999999999999998,-8.100000000000001,True
Mezioud-Amina88,3,-13.866666666666667,-11.533333333333337,0.06666666666666665,0.17777777777777778,-2.8999999999999986,True
MrSuccess,5,-1.9499999999999993,-4.749999999999999,-0.3166666666666667,-0.1833333333333334,0.16666666666666785,True
NguyenDucHoa,2,1.0499999999999972,1.0499999999999972,-0.26666666666666666,-0.26666666666666666,8.23333333333333,True
Ninely,5,-0.23333333333333428,6.633333333333333,0.21666666666666662,0.01666666666666663,-0.01666666666666572,True
OhanyanEminChess,4,-1.5333333333333368,-1.366666666666669,-0.16666666666666669,-1.3877787807814457e-17,11.38333333333333,True
Patagonico2020,3,-10.233333333333334,-12.455555555555556,0.2666666666666666,0.0444444444444444,-8.116666666666667,True
Prniiian_ghomi,3,-6.315789473684212,-4.09356725146199,0.016666666666666607,0.12777777777777774,0.5833333333333357,True
Rachel2070,8,-8.147058823529413,-4.001225490196079,0.08333333333333331,0.04166666666666665,-2.7333333333333325,True
Roman2001,10,-2.4499999999999993,-3.0499999999999994,-0.033333333333333354,0.03333333333333331,-3.833333333333334,True
Rsmon54Terrible,5,-3.3888888888888893,-2.222222222222223,-0.033333333333333326,-0.09999999999999996,-1.3500000000000014,True
Rybka89,2,-5.283333333333333,-5.283333333333333,0.06666666666666665,0.06666666666666665,-2.666666666666666,True
ShantiNurAbidahWIM,2,9.066666666666666,9.066666666666666,-0.30000000000000004,-0.30000000000000004,4.033333333333335,True
SiranAND,6,1.3999999999999986,2.733333333333332,0.16666666666666663,0.05555555555555553,2.283333333333335,True
SophieN,2,-8.472222222222225,-8.472222222222225,0.11666666666666661,0.11666666666666661,-6.5166666666666675,True
Souky71,3,0.6000000000000014,-1.8444444444444439,0.04999999999999999,0.04999999999999997,-6.233333333333331,True
Tashik,7,0.0,0.0,0.08333333333333331,0.10714285714285712,-9.183333333333334,True
Tenamu,9,-1.3958333333333357,-2.2662037037037046,-0.016666666666666663,0.09444444444444446,-1.9833333333333343,True
Vanellope04,3,-12.950000000000003,-4.061111111111114,0.21666666666666662,0.21666666666666665,1.5,True
Velis_23,2,-6.549999999999995,-6.549999999999995,0.11666666666666659,0.11666666666666659,-1.75,True
ViciousKnight30,1,-9.803921568627452,-9.803921568627452,0.06666666666666665,0.06666666666666665,-7.100000000000001,False
Warrior_5,2,9.899999999999999,9.899999999999999,0.08333333333333331,0.08333333333333331,3.716666666666665,True
ZZZaaa1,2,-1.2333333333333325,-1.2333333333333325,0.06666666666666665,0.06666666666666665,8.450000000000003,True
andy_rekt,4,6.117647058823529,3.742647058823529,-0.21666666666666673,-0.21666666666666673,-5.300000000000001,True
anna-maja,5,-4.149999999999999,-4.883333333333331,0.16666666666666663,0.09999999999999998,2.8500000000000014,True
athemm,8,1.7017543859649145,4.076754385964916,0.16666666666666663,-2.7755575615628914e-17,-0.23333333333333073,True
bdr2002,5,-1.25,-1.25,0.16666666666666663,0.3,0.7000000000000028,True
camivette,5,-5.888888888888886,-8.722222222222218,0.06666666666666665,0.13333333333333336,-10.733333333333333,True
champion64,5,-0.3999999999999986,-1.3999999999999986,-0.16666666666666669,0.03333333333333331,0.8333333333333357,True
chess_is_wonder,2,0.2666666666666675,0.2666666666666675,-0.016666666666666663,-0.016666666666666663,7.316666666666665,True
chessbrahs,7,15.916666666666664,11.059523809523808,-0.016666666666666663,-0.08809523809523809,-10.0,True
