player_username,trigger_game_id,trigger_timestamp,trigger_opponent_rating,trigger_moves,post_n,baseline_acpl,baseline_winrate,baseline_moves,post_acpl,post_winrate,post_moves,tilt_acpl,tilt_winrate,tilt_moves
laligb,YaqrM5hj,1730754958435,1885.0,20,3,60.85,0.55,32.45,62.666666666666664,1.0,51.666666666666664,1.8166666666666629,0.44999999999999996,19.21666666666666
laligb,p0Efg9Oz,1731060663952,2012.0,20,2,60.85,0.55,32.45,37.0,0.5,24.0,-23.85,-0.050000000000000044,-8.450000000000003
lindenice,DPdlGSml,1759674403808,2381.0,31,3,41.05,0.55,36.95,37.0,1.0,40.333333333333336,-4.049999999999997,0.44999999999999996,3.383333333333333
lindenice,bUvXpJOk,1759759280356,2215.0,18,3,41.05,0.55,36.95,62.666666666666664,0.3333333333333333,24.0,21.616666666666667,-0.21666666666666673,-12.950000000000003
lindenice,6DHcIh1R,1759759451063,2194.0,11,3,41.05,0.55,36.95,54.0,0.3333333333333333,28.0,12.950000000000003,-0.21666666666666673,-8.950000000000003
lindenice,waFwu4kW,1759760097633,2206.0,36,3,41.05,0.55,36.95,19.333333333333332,0.6666666666666666,20.0,-21.716666666666665,0.11666666666666659,-16.950000000000003
lindenice,607ERovx,1759805588459,2402.0,23,3,41.05,0.55,36.95,34.0,0.3333333333333333,39.666666666666664,-7.049999999999997,-0.21666666666666673,2.7166666666666615
marichola,CF1Y23AO,1753369036069,2274.0,36,3,45.35,0.6,34.3,67.66666666666667,0.3333333333333333,31.0,22.31666666666667,-0.26666666666666666,-3.299999999999997
marichola,fSW9vC0g,1753370445893,2248.0,37,3,45.35,0.6,34.3,50.333333333333336,0.0,41.333333333333336,4.983333333333334,-0.6,7.0333333333333385
marichola,mpcUDqw8,1753382774556,2269.0,42,3,45.35,0.6,34.3,44.666666666666664,0.0,44.666666666666664,-0.6833333333333371,-0.6,10.366666666666667
marichola,zEqtyHyj,1753383772374,2288.0,26,3,45.35,0.6,34.3,39.333333333333336,0.3333333333333333,56.0,-6.016666666666666,-0.26666666666666666,21.700000000000003
marichola,AG83Ksmi,1762360753295,2236.0,27,3,45.35,0.6,34.3,21.333333333333332,1.0,28.0,-24.01666666666667,0.4,-6.299999999999997
matols1992,DAm5Py1k,1746810932415,1533.0,25,3,32.55,0.55,31.3,16.666666666666668,0.6666666666666666,30.0,-15.88333333333333,0.11666666666666659,-1.3000000000000007
matols1992,FbiE0Dm3,1747299211831,2313.0,38,3,32.55,0.55,31.3,17.0,0.6666666666666666,37.0,-15.549999999999997,0.11666666666666659,5.699999999999999
matols1992,tWypx4L1,1747745946769,2264.0,52,3,32.55,0.55,31.3,23.333333333333332,0.6666666666666666,41.333333333333336,-9.216666666666665,0.11666666666666659,10.033333333333335
matols1992,fUlxuaGc,1749291163329,1619.0,74,3,32.55,0.55,31.3,8.333333333333334,0.3333333333333333,19.333333333333332,-24.21666666666666,-0.21666666666666673,-11.966666666666669
matols1992,c4rgvF5k,1752241837182,2396.0,43,3,32.55,0.55,31.3,23.0,1.0,30.666666666666668,-9.549999999999997,0.44999999999999996,-0.6333333333333329
meoluoi91,g493JZLx,1686673230152,2545.0,22,3,47.05,0.55,37.5,94.0,0.0,30.0,46.95,-0.55,-7.5
meoluoi91,QC9VwENd,1686673350384,2489.0,24,3,47.05,0.55,37.5,67.66666666666667,0.3333333333333333,32.333333333333336,20.616666666666674,-0.21666666666666673,-5.166666666666664
meoluoi91,dk0sDlyu,1686674917587,2607.0,40,3,47.05,0.55,37.5,62.333333333333336,0.3333333333333333,41.0,15.283333333333339,-0.21666666666666673,3.5
meoluoi91,s4TOsCcx,1686675088244,2379.0,35,3,47.05,0.55,37.5,43.0,0.6666666666666666,44.0,-4.049999999999997,0.11666666666666659,6.5
mlatb,O2fz5OiQ,1764354317841,2451.0,49,1,30.4,0.85,36.15,15.0,1.0,36.0,-15.399999999999999,0.15000000000000002,-0.14999999999999858
muisback,7Q40jGk8,1751903416606,2687.0,61,3,29.05,0.5,44.85,22.333333333333332,0.6666666666666666,44.666666666666664,-6.716666666666669,0.16666666666666663,-0.18333333333333712
muisback,AX0bb9CG,1751906108441,2773.0,40,3,29.05,0.5,44.85,31.333333333333332,0.0,35.666666666666664,2.2833333333333314,-0.5,-9.183333333333337
muisback,R5zy46WO,1751906688024,2759.0,26,3,29.05,0.5,44.85,37.666666666666664,0.3333333333333333,42.333333333333336,8.616666666666664,-0.16666666666666669,-2.5166666666666657
parajuli1982,5FLZaXZ4,1688214043584,2043.0,38,3,56.3,0.45,28.6,34.0,0.3333333333333333,25.0,-22.299999999999997,-0.1166666666666667,-3.6000000000000014
parajuli1982,dU07fieo,1688536637191,1937.0,28,3,56.3,0.45,28.6,83.33333333333333,0.6666666666666666,39.333333333333336,27.03333333333333,0.21666666666666662,10.733333333333334
parajuli1982,eMkBN3hV,1696437545231,1964.0,19,3,56.3,0.45,28.6,72.66666666666667,0.6666666666666666,29.666666666666668,16.366666666666674,0.21666666666666662,1.0666666666666664
parajuli1982,TKfcRLaq,1714920022157,1979.0,18,2,56.3,0.45,28.6,17.5,1.0,24.0,-38.8,0.55,-4.600000000000001
paruchi,5KwJyDTb,1743265744063,2481.0,65,3,46.4,0.45,38.2,,0.3333333333333333,42.0,,-0.1166666666666667,3.799999999999997
paruchi,iZJOFDxV,1743784482320,2313.0,30,3,46.4,0.45,38.2,,0.3333333333333333,38.0,,-0.1166666666666667,-0.20000000000000284
paruchi,Yk3wH7mu,1751906978366,2364.0,37,3,46.4,0.45,38.2,52.333333333333336,0.3333333333333333,42.666666666666664,5.933333333333337,-0.1166666666666667,4.4666666666666615
