predictor,coef,std_err,p_value,ci_low,ci_high
const,87.36904232222419,0.9742260807469978,0.0,85.45950381765596,89.27858082679242
conf,-3.7800379175227437,2.016917817893968,0.0609190129924253,-7.733311505584757,0.17323567053926991
perc,-2.792645163072834,0.5551244825870433,4.920933136638407e-07,-3.8807207086542954,-1.704569617491373
absdiff,-0.0297677990780701,0.010317053146131506,0.003913673038449022,-0.04998980978538885,-0.009545788370751353
sqrt_absdiff,0.20229869116874127,0.2034981457485776,0.32018076780355087,-0.19656924369212214,0.6011666260296047
Agg,-1.5875030310440825,0.4255731944318425,0.00019168815067923647,-2.4216506866443117,-0.7533553754438536
FemaleWins,-0.5150438153926019,0.7565443237116878,0.4960138903904151,-1.9979137006170902,0.9678260698318862
LowerRatedWinner,-0.49296404186567605,0.45840535646813724,0.2822107960715034,-1.3914646016177388,0.4055365178863867
